79,17905,Software Engineering Reflection,Sunshine
80,17909,Requirements for Information Systems,Breaux
81,17939,Requirements for Embedded Systems,Pavetti
82,17993,Societal Computing Graduate Reading and Research,Christin
83,17994,Societal Computing Practicum,Christin
84,17995,Societal Computing Practicum Internship,Christin
85,17996,Societal Computing Independent Study,Carley
86,17996,Societal Computing Independent Study,Sadeh
87,17996,Societal Computing Independent Study,Pfeffer
88,17996,Societal Computing Independent Study,Cranor
89,17996,Societal Computing Independent Study,Agarwal
90,17996,Societal Computing Independent Study,Herbsleb
91,17996,Societal Computing Independent Study,Kolter
92,17996,Societal Computing Independent Study,Breaux
93,17996,Societal Computing Independent Study,Bauer
94,17996,Societal Computing Independent Study,Fredrikson
95,17996,Societal Computing Independent Study,Goel
96,17996,Societal Computing Independent Study,Fang
97,17996,Societal Computing Independent Study,Vasilescu
98,17996,Societal Computing Independent Study,Christin
99,17997,Software Engineering Graduate Reading & Research,Kaestner
100,17998,Software Engineering Practicum Internship,Kaestner
101,17214,"Principles of Software Construction: Objects, Design, and Concurrency",Le Goues
102,17214,"Principles of Software Construction: Objects, Design, and Concurrency",Hellendoorn
103,17313,Foundations of Software Engineering,Hilton
104,17313,Foundations of Software Engineering,Padhye
105,17313,Foundations of Software Engineering,Timperley
106,17313,Foundations of Software Engineering,Nam
107,17331,"Information Security, Privacy, and Policy",Sadeh
108,17331,"Information Security, Privacy, and Policy",McDonald
109,17428,Machine Learning and Sensing,Goel
110,17428,Machine Learning and Sensing,Ahuja
111,17514,"Principles of Software Construction: Objects, Design, and Concurrency:",Hellendoorn
112,17514,"Principles of Software Construction: Objects, Design, and Concurrency:",Le Goues
113,17614,Formal Methods,Kang
114,17614,Formal Methods,Garlan
115,17623,Quality Assurance,Gennari
116,17623,Quality Assurance,Hilton
117,17624,Advanced Formal Methods,Garlan
118,17624,Advanced Formal Methods,Kang
119,17625,API Design,Bass
120,17625,API Design,Ashok
121,17631,"Information Security, Privacy, and Policy:",Sadeh
122,17631,"Information Security, Privacy, and Policy:",McDonald
123,17636,Applied Distributed Systems,Bass
124,17636,Applied Distributed Systems,Yasar
125,17646,DevOps and Continuous Integration,Bass
126,17646,DevOps and Continuous Integration,Yasar
127,17702,Current Topics in Privacy Seminar,McDonald
128,17702,Current Topics in Privacy Seminar,Sadeh
129,17714,Formal Methods,Kang
130,17714,Formal Methods,Garlan
131,17724,Advanced Formal Methods,Garlan
132,17724,Advanced Formal Methods,Kang
133,17728,Machine Learning and Sensing,Ahuja
134,17728,Machine Learning and Sensing,Goel
135,17731,Foundations of Privacy,Wu
136,17731,Foundations of Privacy,Fanti
137,17808,Software Engineering Research,Garlan
138,17808,Software Engineering Research,Le Goues
139,17808,Software Engineering Research,Aldrich
140,17808,Software Engineering Research,Breaux
141,17808,Software Engineering Research,Padhye
142,17808,Software Engineering Research,Vasilescu
143,17808,Software Engineering Research,Miller
144,17808,Software Engineering Research,Hellendoorn
145,17808,Software Engineering Research,Kaestner
